Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
165,SR5ND,439.425000,-,7.600000,Tone,127.3,127.3,FM,12.5,Nowy Dwór Mazowiecki
166,SR5NRD,438.975000,split,431.375000,Tone,127.3,88.5,FM,12.5,Cybulin
167,SR5O,145.675000,-,0.600000,Tone,127.3,127.3,FM,12.5,Ostrołęka
168,SR5OK,439.262500,-,7.600000,,88.5,88.5,DV,12.5,Kadzidło
170,SR5OS,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Ostrołęka
171,SR5P,145.725000,split,145.125000,Tone,127.3,88.5,FM,12.5,Płock
172,SR5POT,439.150000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa, ul. Chełmżyńska
173,SR5PR,439.175000,-,7.600000,,88.5,88.5,FM,12.5,Pruszków
175,SR5R,145.600000,-,0.600000,Tone,127.3,88.5,FM,12.5,Pruszków
176,SR5RA,438.925000,-,7.600000,Tone,118.8,118.8,FM,12.5,Radom
177,SR5RAD,145.787500,-,0.600000,Tone,118.8,118.8,FM,12.5,RADOM - maszt Emitel
178,SR5RK,438.750000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kozłowiec - Przysucha RTCN
179,SR5S,145.612500,-,0.600000,Tone,127.3,127.3,FM,12.5,Siedlce
180,SR5SE,438.750000,-,7.600000,Tone,127.3,127.3,FM,12.5,Siedlce
181,SR5U,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Warszawa Ursus
182,SR5UOS,438.912500,-,7.600000,,88.5,88.5,DV,12.5,Ostrołęka
183,SR5UR,439.300000,-,7.600000,Tone,127.3,88.5,FM,12.5,Warszawa Ursus
184,SR5UVR,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Radom
185,SR5VW,438.825000,-,7.600000,Tone,67.0,67.0,FM,12.5,Różan EMITEL
186,SR5W,145.750000,-,0.600000,Tone,127.3,127.3,FM,12.5,Warszawa - komin EC Kawęczyn
188,SR5WC,438.600000,-,7.600000,,88.5,88.5,DV,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
190,SR5WP,438.625000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
193,SR5WZ,439.000000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
194,SR5ZIP,439.250000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa
195,SR5ZU,438.700000,-,7.600000,Tone,88.5,88.5,FM,12.5,Żuromin
196,SR6AA,439.400000,-,7.600000,Tone,67.0,88.5,FM,12.5,Legnica
197,SR6ACZ,438.950000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
198,SR6B,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Działoszyn - stacja meteo
199,SR6C,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Bolesławiec
200,SR6DA,439.137500,-,7.600000,,88.5,88.5,FM,12.5,Dalachów
