Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
1489,LA9SR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,S. Sunnmøre / Gurskøy
1490,LA9TR,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Tromsø / Trolltind
1491,LA9UR,145.787500,-,0.600000,,88.5,88.5,FM,12.5,Fosen / Ruasetfjellet
1492,LA9WR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Namdal / Geitfjellet
1493,LA9XR,434.975000,-,1.600000,,88.5,88.5,FM,12.5,Oslo / Heggedal
1494,LA9ZR,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Midt-Troms / Andsfjell
1495,LD1OT,434.575000,-,2.000000,,88.5,88.5,DV,12.5,Tryvann, Oslo
1496,LD2KR,434.562500,-,2.000000,,88.5,88.5,FM,12.5,Kongsvinger / Rafjellet
1497,LD3DV,434.525000,-,2.000000,,88.5,88.5,DV,12.5,Varden, Drammen
1498,LD3SM,434.550000,-,2.000000,,88.5,88.5,DV,12.5,Mokollen, Sandefjord
1499,LY0RAL,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Alytus
1500,LY0RAN,145.650000,-,0.600000,,88.5,88.5,FM,12.5,Anykščiai
1501,LY0RKA,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Kaunas
1502,LY0RKL,439.400000,-,7.600000,,88.5,88.5,FM,12.5,Klaipėda
1503,LY0RKN,431.900000,+,7.600000,,88.5,88.5,FM,12.5,Kaunas
1504,LY0RKY,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kybartai
1505,LY0RMA,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Marijampolė
1506,LY0ROM,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Kryžkalnis
1507,LY0RSM,145.625000,-,0.600000,,88.5,88.5,FM,12.5,Šiauliai
1508,LY0RUT,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Utena
1509,LY0RVL,438.650000,-,7.600000,Tone,179.9,88.5,FM,12.5,WILNO
1510,LY0RVN,145.750000,-,0.600000,Tone,186.2,88.5,FM,12.5,WILNO
1511,LY2WR,145.600000,-,0.600000,,88.5,88.5,FM,12.5,Vilinius
1512,LZ0BGM,439.300000,split,432.700000,Tone,79.7,79.7,FM,12.5,връх Мусала
1513,LZ0BGN,439.200000,-,7.600000,Tone,79.7,79.7,FM,12.5,Петрохан
1514,LZ0BOT,145.650000,-,0.600000,,88.5,88.5,FM,12.5,връх Ботев
1515,LZ0CAL,439.175000,-,7.600000,Tone,91.5,91.5,FM,12.5,Стара Загора
1516,LZ0CBK,438.600000,-,7.600000,Tone,79.7,79.7,FM,12.5,София - хотел Копитото
1517,LZ0CER,439.000000,-,7.600000,Tone,79.7,79.7,FM,12.5,София - връх Черни връх
1518,LZ0CHM,439.375000,-,7.600000,Tone,79.7,79.7,FM,12.5,Сливен - хижа Чумерна
1519,LZ0CUM,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Сливен - хижа Чумерна
1520,LZ0DAB,438.550000,-,7.600000,,88.5,88.5,DV,12.5,София - НУРТС - Копитото
1521,LZ0DAP,438.500000,-,7.600000,,88.5,88.5,DV,12.5,НУРТС - Пловдив /Здравец/
1522,LZ0DAV,438.550000,-,7.600000,,88.5,88.5,DV,12.5,НУРТС - Варна
1523,LZ0DBS,439.600000,-,7.600000,,88.5,88.5,DV,12.5,Бургас - м. Чиплака
1524,LZ0DDA,438.450000,-,7.600000,,88.5,88.5,DV,12.5,Петрохан
1526,LZ0DOE,145.625000,-,0.600000,,88.5,88.5,FM,12.5,София - връх Черни връх
1527,LZ0DSR,439.175000,-,7.600000,,88.5,88.5,DV,12.5,София - връх Черни връх
1528,LZ0DVB,439.550000,-,7.600000,,88.5,88.5,DV,12.5,връх Ботев
1529,LZ0FSB,439.150000,-,7.600000,,88.5,88.5,FM,12.5,София - кв.Бояна
1530,LZ0GEO,438.900000,-,7.600000,Tone,74.4,74.4,FM,12.5,Пловдив - стъкларски завод до хижа Здравец
1531,LZ0HAM,439.500000,-,7.600000,Tone,79.7,79.7,FM,12.5,връх Ботев
1532,LZ0HAS,439.350000,-,7.600000,Tone,79.7,79.7,FM,12.5,Хасково
1533,LZ0IVA,439.325000,-,7.600000,Tone,91.5,91.5,FM,12.5,Кърджали
1534,LZ0KOM,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Белоградчик - кулата на НУРТС
1535,LZ0MAI,439.575000,-,7.600000,,88.5,88.5,FM,12.5,София - болница Пирогов
1536,LZ0MAR,439.125000,-,7.600000,Tone,79.7,79.7,FM,12.5,връх Шипка
1537,LZ0MSS,438.850000,-,7.600000,,88.5,88.5,FM,12.5,София - Балша
1538,LZ0ORL,145.775000,-,0.600000,,88.5,79.7,FM,12.5,Гоце Делчев - връх Ореляк
1539,LZ0PLD,438.800000,-,7.600000,Tone,79.7,79.7,FM,12.5,Пловдив
1540,LZ0PLK,439.425000,-,7.600000,Tone,103.5,103.5,FM,12.5,Павликени
1541,LZ0RCB,145.000000,+,0.600000,,88.5,88.5,FM,12.5,Бургас - м. Чиплака
1542,LZ0RDP,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Варна
1543,LZ0RKN,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Кюстендил
1544,LZ0ROJ,438.650000,-,7.600000,Tone,91.5,91.5,FM,12.5,връх Снежанка
1545,LZ0RSL,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Силистра - НУРТС
1547,LZ0SEA,439.100000,-,7.600000,Tone,79.7,79.7,FM,12.5,Бургас - вр.Еделвайс
1548,LZ0SLU,438.750000,-,7.600000,Tone,79.7,79.7,FM,12.5,Сливен - връх Карандила
1549,LZ0SLV,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Сливен - връх Карандила
1550,LZ0SMN,438.700000,-,7.600000,Tone,91.5,91.5,FM,12.5,Шумен
1551,LZ0TUK,438.100000,-,7.600000,,88.5,79.7,FM,12.5,София - НУРТС - Копитото
1552,LZ0UHF,439.400000,-,7.600000,Tone,79.7,79.7,FM,12.5,София
1553,LZ0VRC,439.150000,-,7.600000,Tone,79.7,79.7,FM,12.5,Враца
1554,LZ0VRF,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Пловдив - стъкларски завод до хижа Здравец
1555,LZ0WOL,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Враца
1556,LZVARNA,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Варна
1557,OE2XBB,439.200000,-,7.600000,Tone,88.5,88.5,FM,12.5,SCHAFBERG
1558,OE2XZR,145.687500,-,0.600000,Tone,88.5,123.0,FM,12.5,Gaisberg
1559,OE3XNR,145.637500,-,0.600000,Tone,88.5,88.5,FM,12.5,Nebelstein
1560,OE5XHO,431.150000,+,7.600000,,88.5,88.5,FM,12.5,Damberg
1561,OE5XUL,145.175000,+,0.600000,,88.5,88.5,FM,12.5,Geiersberg
1562,OE7XFJ,439.025000,-,7.600000,,88.5,88.5,FM,12.5,Harschbichl
