number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.3353.2022.2;2027-07-27;SR4SA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.775;439.375;Sokó³ka
DC.WML.5101.3345.2022.3;2032-08-16;SR9NJ;Kategoria5;15;AnalogowyPrzemiennikFM;"";1270.15, 431.1;1298.15, 438.7;Krynica-Zdrój - szczyt góry Jaworzyna Krynicka
DC.WML.5101.3527.2022.2;2027-08-17;SR8V;Kategoria5;15;PrzemiennikFMDV;"";70.275, 51.35, 145.0125;70.275, 51.95, 145.6125;Góra Liwocz
DC.WML.5101.3528.2022.2;2027-08-18;SR5MRF;Kategoria5;10;StacjaPogodowa, PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Warszawa
DC.WML.5101.3805.2022.2;2027-06-02;SR4DIG;Kategoria5;10;CyfrowyPrzekaznik;"";144.8, 144.9, 432.5;144.8, 144.9, 432.5;Bia³ystok
DC.WML.5101.3822.2022.2;2027-09-08;SR5LW;Kategoria5;15;AnalogowyPrzemiennikFM;"";1270.1;1298.1;Pruszków
DC.WML.5101.3823.2022.2;2027-09-08;SR4C4FM;Kategoria5;10;CyfrowyPrzemiennik;"";432.575;432.575;Bia³ystok
DC.WML.5101.3899.2022.2;2027-09-13;SR4RD;Kategoria5;15;AnalogowyPrzemiennikFM, PrzekaznikAPRS;"";430.9375, 144.8;438.5375, 144.8;Ruda
DC.WML.5101.3902.2022.2;2026-05-06;SR0DZ;Kategoria5;15;CyfrowyPrzemiennik;"";144.8, 431.9375, 431.625;144.8, 439.5375, 430.025;Serock
DC.WML.5101.3956.2022.2;2027-09-19;SR9NFB;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Góra Przehyba
DC.WML.5101.3957.2022.2;2027-09-19;SR5ND;Kategoria5;15;PrzemiennikFMDV;"";431.825;439.425;Nowy Dwór Maz.
DC.WML.5101.3958.2022.2;2027-09-19;SR9ZAC;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.2875;145.2875;Koœcielisko
DC.WML.5101.3994.2022.2;2027-09-21;SR7G;Kategoria5;15;CyfrowyPrzemiennik;"";431.4625;439.0625;Z³ota
DC.WML.5101.3995.2022.2;2028-07-09;SR7TCW;Kategoria5;15;AnalogowyPrzemiennikFM;"";438.125;145.3;Z³ota
DC.WML.5101.4039.2022.2;2027-09-12;SR7ATM;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Tomaszów Maz.
DC.WML.5101.4112.2022.2;2027-10-05;SR4BK;Kategoria5;10;AnalogowyPrzemiennikFM;"";431.325;438.925;Bia³ystok
DC.WML.5101.4158.2022.2;2027-10-06;SR4NOE;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Olszewo
DC.WML.5101.4225.2022.2;2027-10-12;SR3K;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.15;145.75;Kalisz
DC.WML.5101.4341.2022.2;2027-10-21;SR3WR;Kategoria5;10;PrzekaznikAPRS;"";144.8;144.8;Wronki
DC.WML.5101.4370.2022.3;2027-10-24;SR7ST;Kategoria5;10;PrzemiennikFMDV;"";431.55;439.15;Krzywo³êcz
DC.WML.5101.4396.2022.2;2027-10-25;SR5RAW;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.9;432.5, 144.9;Radom
DC.WML.5101.4640.2022.2;2027-11-14;SR5DZ;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Nowy Dwór Mazowiecki
DC.WML.5101.4653.2022.2;2027-11-14;SR7SE;Kategoria5;15;CyfrowaStacjaWezlowa, PrzemiennikFMDV, PrzekaznikAPRS, StacjaPogodowa;"";144.875, 438.15, 5675, 2397, 431.775, 431.5, 145.125, 144.95, 144.8;144.875, 438.15, 5675, 2397, 439.375, 432.5, 145.725, 144.95, 144.8;Micigózd
DC.WML.5101.4654.2022.2;2027-11-14;SR0M;Kategoria5;5;StacjaPogodowaAPRS;"";144.8;144.8;Koœcielisko - Mu³owy Kocio³
DC.WML.5101.4655.2022.2;2027-11-14;SR0L;Kategoria5;5;StacjaPogodowaAPRS;"";144.8;144.8;Koœcielisko - Litworowy Kocio³
DC.WML.5101.4778.2022.3;2025-12-03;SR3PB;Kategoria5;15;PrzemiennikFMDV;"";431.275;438.875;Pobiedziska
DC.WML.5101.4797.2022.2;2027-11-28;SR6ACZ;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.35;438.95;Wroc³aw
DC.WML.5101.4812.2022.2;2027-12-15;SR5PR;Kategoria5;10;AnalogowyPrzemiennikFM;"";431.575;439.175;Pruszków
DC.WML.5101.4850.2022.3;2026-06-10;SR6DA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.5375;439.1375;Dalachów
