number;valid_to;call_sign;category;transmitter_power;name_type_station;emission;input_frequency;output_frequency;station_location
DC.WML.5101.1433.2025.2;2030-02-26;SR8RZE;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.6875;439.2875;Rzeszów
DC.WML.5101.1460.2025.2;2030-02-27;SR6TW;Kategoria5;15;CyfrowyPrzemiennik;"";431.15;438.75;Che³stów - wie¿a
DC.WML.5101.1782.2025.2;2029-09-11;SR4PL;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.175;439.575;Podleœna
DC.WML.5101.1835.2025.3;2030-03-18;SR4T;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.1625;145.7625;Turcz
DC.WML.5101.1837.2025.2;2030-01-10;SR7LA;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.95;439.55;£ask
DC.WML.5101.1838.2025.3;2030-04-17;SR5WB;Kategoria5;15;PrzemiennikFMDV;"";430.95;438.55;Moszna-Parcela
DC.WML.5101.1878.2025.3;2030-03-27;SR5WC;Kategoria5;15;PrzemiennikFMDV;"";431;438.6;Moszna-Parcela
DC.WML.5101.1879.2025.3;2030-03-27;SR5WP;Kategoria5;15;PrzemiennikFMDV;"";431.025;438.625;Moszna-Parcela
DC.WML.5101.1880.2025.4;2030-04-17;SR5WZ;Kategoria5;15;PrzemiennikFMDV;"";431.4;439;Moszna-Parcela
DC.WML.5101.1944.2025.2;2030-03-24;SR9LRA;Kategoria5;1;PrzekaznikAPRS;"";434.85;434.85;Kraków
DC.WML.5101.1958.2025.2;2029-11-18;SR9EMP;Kategoria5;15;PrzekaznikAPRS;"";144.8, 434.85;144.8, 434.85;Kraków
DC.WML.5101.1961.2025.3;2030-03-25;SR8KP;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";434.855, 431.975, 29.57;434.855, 439.575, 29.67;Giedlarowa
DC.WML.5101.2126.2025.3;2030-04-01;SR5WXW;Kategoria5;15;StacjaPogodowa;"";434.95, 144.95;434.95, 144.95;Warszawa
DC.WML.5101.2182.2025.4;2030-04-23;SR6DWH;Kategoria5;15;PrzekaznikAPRS, CyfrowaStacjaWezlowa;"";144, 2392.5, 438.45, 5710, 144.925;144.8, 2392.5, 430.85, 5710, 144.925;Wa³brzych
DC.WML.5101.2339.2025.2;2030-03-20;SR8LT;Kategoria5;15;CyfrowyPrzemiennik;"";431.65;430.05;Lublin
DC.WML.5101.2479.2025.3;2030-04-11;SR3NPB;Kategoria5;15;CyfrowyPrzemiennik;"";144.8;144.8;Pobiedziska
DC.WML.5101.2532.2025.2;2030-04-15;SR2GRO;Kategoria5;15;Radiolatarnia;"";1296.875;1296.875;Bydgoszcz
DC.WML.5101.2569.2025.2;2030-04-16;SR8ALA;Kategoria5;10;CyfrowyPrzemiennik;"";431.875;439.475;Domaradz
DC.WML.5101.2727.2025.2;2030-04-29;SR9KFZ;Kategoria5;15;PrzekaznikAPRS;"";432.5, 144.8;432.5, 144.8;Czêstochowa
DC.WML.5101.2728.2025.2;2030-04-29;SR9UCZ;Kategoria5;15;CyfrowyPrzekaznik;"";431.4875;439.0875;Czêstochowa
DC.WML.5101.2730.2025.2;2030-04-25;SR9DMR;Kategoria5;15;CyfrowyPrzemiennik;"";430.85;438.45;Katowice
DC.WML.5101.2950.2025.2;2030-05-06;SR7ULM;Kategoria5;15;PrzemiennikFMDV;"";431.8;439.4;£ódŸ
DC.WML.5101.2982.2025.3;2030-05-07;SR9NKU;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.7625;438.3625;D¹browa Górnicza
DC.WML.5101.2985.2025.2;2030-05-07;SR3XX;Kategoria5;15;PrzemiennikFMDV;"";144.975, 431.425;145.575, 439.025;Poznañ
DC.WML.5101.2760.2025.4;2030-05-12;SR5TM;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Warszawa
DC.WML.5101.3129.2025.2;2030-09-03;SR8WXL;Kategoria5;15;StacjaPogodowaAPRS;"";434.855, 144.8;434.855, 144.8;Lubatowa
DC.WML.5101.3158.2025.2;2030-05-14;SR7LDX;Kategoria5;15;PrzemiennikFMDV;"";431.9;439.5;£ódŸ
DC.WML.5101.3300.2025.2;2030-05-20;SR2WKW;Kategoria5;15;StacjaPogodowa;"";144.95;144.95;Kwidzyn
DC.WML.5101.3743.2025.2;2030-06-05;SR9BBC;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Bibice
DC.WML.5101.3744.2025.2;2030-06-05;SR7EMP;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Sandomierz
DC.WML.5101.3745.2025.3;2030-06-05;SR0TST;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Bibice
DC.WML.5101.3785.2025.2;2030-07-28;SR5RR;Kategoria5;15;AnalogowyPrzemiennikFM;"";431.675;439.275;Warszawa
DC.WML.5101.3954.2025.2;2030-06-17;SR9PZC;Kategoria5;15;PrzekaznikAPRS, AnalogowyPrzemiennikFM;"";2360, 5825, 434.855, 145.2875;2360, 5825, 434.855, 145.2875;Piwniczna-Zdrój
DC.WML.5101.3946.2025.2;2030-01-29;SR9BW;Kategoria5;15;PrzekaznikAPRS;"";144.9, 144.8;144.9, 144.8;Kraków
DC.WML.5101.4100.2025.2;2030-06-20;SR9RP;Kategoria5;15;PrzemiennikFMDV;"";431.65;439.25;Wysokie
DC.WML.5101.4101.2025.2;2030-06-20;SR9RS;Kategoria5;15;PrzemiennikFMDV;"";431.725;439.325;Maciejowa
DC.WML.5101.4102.2025.2;2030-06-20;SR9RU;Kategoria5;15;PrzemiennikFMDV;"";431.75;439.35;Przehyba
DC.WML.5101.4421.2025.2;2030-07-04;SR5WRX;Kategoria5;15;PrzemiennikFMDV;"";1270.575;1298.575;Warszawa
DC.WML.5101.4827.2025.2;2030-07-17;SR2ALL;Kategoria5;15;CyfrowyPrzekaznik;"";145.45;145.45;Gdynia
DC.WML.5101.4934.2025.3;2030-07-21;SR4ROBI;Kategoria5;15;AnalogowyPrzemiennikFM;"";430.7625;438.3626;Moñki
DC.WML.5101.4995.2025.2;2030-07-23;SR4SN;Kategoria5;15;PrzemiennikFMDV;"";431.275;438.875;Szczytno
DC.WML.5101.5408.2025.2;2030-08-14;SR1B;Kategoria5;10;CyfrowyPrzemiennik;"";145.0125;145.6125;Broczyno
DC.WML.5101.5410.2025.2;2030-08-14;SR4X;Kategoria5;15;AnalogowyPrzemiennikFM;"";145;145.6;Juchnowiec Górny
DC.WML.5101.5691.2025.3;2035-08-25;SR4ROBI;Kategoria5;15;AnalogowyPrzemiennikATV;"";430.7625;438.3625;Moñki
DC.WML.5101.5400.2025.4;2030-08-29;SR9SE;Kategoria5;15;PrzemiennikFMDV;"";431.6;439.2;Bêdzin
DC.WML.5101.6091.2025.2;2030-09-09;SR8GDM;Kategoria5;15;AnalogowyPrzemiennikATV;"";431.775;439.375;Wola Przybys³awska
DC.WML.5101.6092.2025.2;2030-05-05;SR8GA;Kategoria5;15;AnalogowyPrzemiennikFM;"";145.125;145.725;Wola Przybys³awska
DC.WML.5101.6086.2025.2;2030-09-09;SR2PP;Kategoria5;15;PrzemiennikFMDV;"";431.2125, 145.1;438.8125, 145.7;Piechcin
DC.WML.5101.6212.2025.2;2030-09-12;SR6T;Kategoria5;15;CyfrowyPrzemiennik;"";438.55;430.95;Stare Rochowice
DC.WML.5101.6378.2025.3;2030-10-01;SR3DMR;Kategoria5;15;CyfrowyPrzemiennik, CyfrowyPrzekaznik;"";431.65, 145.0125;439.25, 145.6125;Poznañ
DC.WML.5101.6408.2025.2;2030-09-22;SR5SE;Kategoria5;15;CyfrowyPrzemiennik;"";431.15;438.75;Siedlce
DC.WML.5101.6423.2025.2;2030-09-23;SR2OX;Kategoria5;15;CyfrowyPrzekaznik;"";433.65;433.65;Gdynia
DC.WML.5101.6424.2025.2;2030-09-23;SR2DDU;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Przyjma
DC.WML.5101.5889.2025.5;2030-09-29;SR4MON;Kategoria5;15;PrzemiennikFMDV, PrzekaznikAPRS, CyfrowyPrzemiennik, CyfrowaStacjaWezlowa;"";431.525, 431.1125, 144.14, 144.44, 144.8, 431.98, 431.7775, 431.5125;439.125, 438.7125, 144.74, 145.04, 144.8, 431.98, 431.7775, 431.5125;Moñki
DC.WML.5101.6712.2025.2;2030-10-06;SR1GPS;Kategoria5;15;PrzekaznikAPRS;"";144.8;144.8;Golczewo
DC.WML.5101.6713.2025.2;2030-10-06;SR9GOL;Kategoria5;15;AnalogowyPrzemiennikFM;"";434.75;145.65;""
DC.WML.5101.6891.2025.2;2030-10-14;SR5WG;Kategoria5;15;CyfrowyPrzemiennik, AnalogowyPrzemiennikFM, PrzekaznikAPRS;"";430.7625, 144.8;439.9875, 438.3625, 144.8;Sobolew
