Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
26,439,431.4,7.600000,Minus,FM,DB0FOD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
27,145.775,145.175,0.600000,Minus,FM,DB0FRO,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
28,438.6875,431.0875,7.600000,Minus,FM,DB0FUL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
29,439.4,431.8,7.600000,Minus,FM,DB0GRZ,On,None,88.5 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
30,145.6,145,0.600000,Minus,FM,DB0GRZ,On,None,88.5 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
31,145.6,145,0.600000,Minus,FM,DB0GRZ-2M,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
32,439.075,431.475,7.600000,Minus,FM,DB0HEL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
33,438.375,430.775,7.600000,Minus,FM,DB0HHN,On,Tone,67.0 Hz,67.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
34,145.65,145.05,0.600000,Minus,FM,DB0HRM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
35,439.4,431.8,7.600000,Minus,FM,DB0HZL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
36,439.025,431.425,7.600000,Minus,FM,DB0IF,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
37,439.1,431.5,7.600000,Minus,FM,DB0LAU,On,Tone,123.0 Hz,123.0 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
38,438.925,431.325,7.600000,Minus,FM,DB0LBH,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
39,145.775,145.175,0.600000,Minus,FM,DB0LEI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
40,145.625,145.025,0.600000,Minus,FM,DB0LOE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
41,438.775,431.175,7.600000,Minus,FM,DB0LOS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
42,439.375,431.775,7.600000,Minus,FM,DB0LS,On,Tone,123.0 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
