Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,Skip,Step,Mask,Attenuator,Comment,IPO,
494,433.275,434.875,1.600000,Plus,FM,GB7SV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
495,430.9375,438.5375,7.600000,Plus,FM,GB7SZ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
496,430.8875,438.4875,7.600000,Plus,FM,GB7TQ,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
497,430.875,438.475,7.600000,Plus,FM,GB7XG,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
498,433.05,434.65,1.600000,Plus,FM,GB7ZE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
499,29.65,29.55,0.100000,Minus,FM,HB9HD,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
500,145.625,145.025,0.600000,Minus,FM,HG6RVA,On,Tone,114.8 Hz,114.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
501,145.725,145.125,0.600000,Minus,FM,HG9RVA,On,Tone,114.8 Hz,114.8 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
502,145.6,145,0.600000,Minus,FM,JW9SRR,On,Tone,91.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
503,29.65,29.55,0.100000,Minus,FM,LA1XRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
504,434.85,432.85,2.000000,Minus,FM,LA2ERR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
505,434.65,432.65,2.000000,Minus,FM,LA2KRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
506,51.83,51.23,0.600000,Minus,FM,LA2RRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
507,145.7125,145.1125,0.600000,Minus,FM,LA2XRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
508,434.75,432.75,2.000000,Minus,FM,LA2YRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
509,145.6125,145.0125,0.600000,Minus,FM,LA3GRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
510,434.675,432.675,2.000000,Minus,FM,LA3JRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
511,434.9,432.9,2.000000,Minus,FM,LA4BRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
512,434.875,432.875,2.000000,Minus,FM,LA4ERR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
513,145.75,145.15,0.600000,Minus,FM,LA4HRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
514,434.825,432.825,2.000000,Minus,FM,LA4KRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
515,434.85,432.85,2.000000,Minus,FM,LA4LRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
516,434.9,432.9,2.000000,Minus,FM,LA4MRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
517,145.7125,145.1125,0.600000,Minus,FM,LA4SRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
518,434.875,432.875,2.000000,Minus,FM,LA4URR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
519,434.85,432.85,2.000000,Minus,FM,LA4WRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
520,145.7,145.1,0.600000,Minus,FM,LA5AR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
521,145.75,145.15,0.600000,Minus,FM,LA5BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
522,434.675,432.675,2.000000,Minus,FM,LA5CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
523,145.725,145.125,0.600000,Minus,FM,LA5DR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
524,145.7875,145.1875,0.600000,Minus,FM,LA5FR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
525,145.65,145.05,0.600000,Minus,FM,LA5GR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
526,145.625,145.025,0.600000,Minus,FM,LA5HR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
527,145.7,145.1,0.600000,Minus,FM,LA5IR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
528,434.625,432.625,2.000000,Minus,FM,LA5JR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
529,145.65,145.05,0.600000,Minus,FM,LA5KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
530,145.7,145.1,0.600000,Minus,FM,LA5LR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
531,145.625,145.025,0.600000,Minus,FM,LA5MR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
532,145.775,145.175,0.600000,Minus,FM,LA5NR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
533,145.6,145,0.600000,Minus,FM,LA5OR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
534,145.6,145,0.600000,Minus,FM,LA5PR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
535,145.625,145.025,0.600000,Minus,FM,LA5QR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
536,145.675,145.075,0.600000,Minus,FM,LA5RR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
537,434.6,432.6,2.000000,Minus,FM,LA5RRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
538,145.75,145.15,0.600000,Minus,FM,LA5SR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
539,145.675,145.075,0.600000,Minus,FM,LA5TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
540,51.81,51.21,0.600000,Minus,FM,LA5UR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
541,145.625,145.025,0.600000,Minus,FM,LA5VR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
542,434.85,432.85,2.000000,Minus,FM,LA5XR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
543,434.9,432.9,2.000000,Minus,FM,LA5YR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
544,145.725,145.125,0.600000,Minus,FM,LA6AR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
545,145.75,145.15,0.600000,Minus,FM,LA6BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
546,434.625,432.625,2.000000,Minus,FM,LA6CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
547,434.8,432.8,2.000000,Minus,FM,LA6DR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
548,145.725,145.125,0.600000,Minus,FM,LA6ER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
549,145.625,145.025,0.600000,Minus,FM,LA6FR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
550,434.75,432.75,2.000000,Minus,FM,LA6GR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
551,434.65,432.65,2.000000,Minus,FM,LA6HR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
552,145.625,145.025,0.600000,Minus,FM,LA6JR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
553,145.75,145.15,0.600000,Minus,FM,LA6KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
554,145.65,145.05,0.600000,Minus,FM,LA6MR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
555,145.775,145.175,0.600000,Minus,FM,LA6NR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
556,145.6375,145.0375,0.600000,Minus,FM,LA6OR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
557,434.75,432.75,2.000000,Minus,FM,LA6QR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
558,434.6,432.6,2.000000,Minus,FM,LA6RR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
559,145.775,145.175,0.600000,Minus,FM,LA6SR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
560,145.75,145.15,0.600000,Minus,FM,LA6TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
561,145.65,145.05,0.600000,Minus,FM,LA6UR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
562,145.75,145.15,0.600000,Minus,FM,LA6VR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
563,145.725,145.125,0.600000,Minus,FM,LA6WR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
564,145.6,145,0.600000,Minus,FM,LA6XR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
565,434.85,432.85,2.000000,Minus,FM,LA6YR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
566,434.6,432.6,2.000000,Minus,FM,LA6YRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
567,145.75,145.15,0.600000,Minus,FM,LA6ZR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
568,145.675,145.075,0.600000,Minus,FM,LA7AR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
569,434.7,432.7,2.000000,Minus,FM,LA7BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
570,434.7,432.7,2.000000,Minus,FM,LA7CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
571,145.65,145.05,0.600000,Minus,FM,LA7ER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
572,434.7,432.7,2.000000,Minus,FM,LA7FR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
573,145.725,145.125,0.600000,Minus,FM,LA7GR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
574,145.65,145.05,0.600000,Minus,FM,LA7HR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
575,434.625,432.625,2.000000,Minus,FM,LA7KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
576,434.625,432.625,2.000000,Minus,FM,LA7KRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
577,434.925,432.925,2.000000,Minus,FM,LA7LR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
578,145.675,145.075,0.600000,Minus,FM,LA7MR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
579,145.775,145.175,0.600000,Minus,FM,LA7NR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
580,434.775,432.775,2.000000,Minus,FM,LA7OR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
581,145.725,145.125,0.600000,Minus,FM,LA7ORR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
582,145.6625,145.0625,0.600000,Minus,FM,LA7PR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
583,145.7,145.1,0.600000,Minus,FM,LA7RR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
584,434.8,432.8,2.000000,Minus,FM,LA7SR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
585,434.675,432.675,2.000000,Minus,FM,LA7TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
586,51.85,51.25,0.600000,Minus,FM,LA7TRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
587,434.675,432.675,2.000000,Minus,FM,LA7UR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
588,1297,1291,6.000000,Minus,FM,LA7URR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
589,145.6,145,0.600000,Minus,FM,LA7VR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
590,434.725,432.725,2.000000,Minus,FM,LA7WR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
591,145.7,145.1,0.600000,Minus,FM,LA7YR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
592,145.625,145.025,0.600000,Minus,FM,LA8BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
593,145.7625,145.1625,0.600000,Minus,FM,LA8CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
594,145.675,145.075,0.600000,Minus,FM,LA8DR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
595,434.875,432.875,2.000000,Minus,FM,LA8ER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
596,145.625,145.025,0.600000,Minus,FM,LA8FR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
597,145.775,145.175,0.600000,Minus,FM,LA8GR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
598,145.65,145.05,0.600000,Minus,FM,LA8HR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
599,145.7,145.1,0.600000,Minus,FM,LA8KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
600,145.65,145.05,0.600000,Minus,FM,LA8LR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
601,145.775,145.175,0.600000,Minus,FM,LA8MR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
602,145.775,145.175,0.600000,Minus,FM,LA8NR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
603,145.625,145.025,0.600000,Minus,FM,LA8NRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
604,434.6,432.6,2.000000,Minus,FM,LA8OR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
605,145.7125,145.1125,0.600000,Minus,FM,LA8QR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
606,434.825,432.825,2.000000,Minus,FM,LA8RR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
607,145.775,145.175,0.600000,Minus,FM,LA8SR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
608,145.75,145.15,0.600000,Minus,FM,LA8TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
609,434.775,432.775,2.000000,Minus,FM,LA8UR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
610,145.7,145.1,0.600000,Minus,FM,LA8VR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
611,145.7375,145.1375,0.600000,Minus,FM,LA8XR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
612,145.6,145,0.600000,Minus,FM,LA9AR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
613,145.675,145.075,0.600000,Minus,FM,LA9BR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
614,145.625,145.025,0.600000,Minus,FM,LA9CR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
615,434.725,432.725,2.000000,Minus,FM,LA9DR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
616,145.7375,145.1375,0.600000,Minus,FM,LA9ER,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
617,145.7,145.1,0.600000,Minus,FM,LA9HR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
618,434.8,432.8,2.000000,Minus,FM,LA9HRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
619,145.75,145.15,0.600000,Minus,FM,LA9JDA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
620,145.65,145.05,0.600000,Minus,FM,LA9KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
621,145.7,145.1,0.600000,Minus,FM,LA9LR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
622,145.6,145,0.600000,Minus,FM,LA9LRR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
623,145.675,145.075,0.600000,Minus,FM,LA9MR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
624,434.95,432.95,2.000000,Minus,FM,LA9NR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
625,434.725,432.725,2.000000,Minus,FM,LA9QR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
626,145.6,145,0.600000,Minus,FM,LA9RR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
627,145.725,145.125,0.600000,Minus,FM,LA9SR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
628,145.625,145.025,0.600000,Minus,FM,LA9TR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
629,145.7875,145.1875,0.600000,Minus,FM,LA9UR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
630,145.6,145,0.600000,Minus,FM,LA9WR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
631,434.975,433.375,1.600000,Minus,FM,LA9XR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
632,145.725,145.125,0.600000,Minus,FM,LA9ZR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
633,434.5625,432.5625,2.000000,Minus,FM,LD2KR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
634,145.7,145.1,0.600000,Minus,FM,LX0LU,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
635,145.625,145.025,0.600000,Minus,FM,LY0RAL,On,Tone,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
636,145.65,145.05,0.600000,Minus,FM,LY0RAN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
637,145.675,145.075,0.600000,Minus,FM,LY0RKA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
638,439.4,431.8,7.600000,Minus,FM,LY0RKL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
639,431.9,439.5,7.600000,Plus,FM,LY0RKN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
640,145.75,145.15,0.600000,Minus,FM,LY0RKY,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
641,145.7,145.1,0.600000,Minus,FM,LY0RMA,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
642,145.725,145.125,0.600000,Minus,FM,LY0ROM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
643,145.625,145.025,0.600000,Minus,FM,LY0RSM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
644,145.725,145.125,0.600000,Minus,FM,LY0RUT,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
645,438.65,431.05,7.600000,Minus,FM,LY0RVL,On,Tone,179.9 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
646,145.75,145.15,0.600000,Minus,FM,LY0RVN,On,Tone,186.2 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
647,145.6,145,0.600000,Minus,FM,LY2WR,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
648,439.3,432.7,6.600000,Minus,FM,LZ0BGM,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
649,439.2,431.6,7.600000,Minus,FM,LZ0BGN,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
650,145.65,145.05,0.600000,Minus,FM,LZ0BOT,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
651,439.175,431.575,7.600000,Minus,FM,LZ0CAL,On,Tone,91.5 Hz,91.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
652,438.6,431,7.600000,Minus,FM,LZ0CBK,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
653,439,431.4,7.600000,Minus,FM,LZ0CER,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
654,439.375,431.775,7.600000,Minus,FM,LZ0CHM,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
655,145.675,145.075,0.600000,Minus,FM,LZ0CUM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
656,145.625,145.025,0.600000,Minus,FM,LZ0DOE,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
657,439.15,431.55,7.600000,Minus,FM,LZ0FSB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
658,438.9,431.3,7.600000,Minus,FM,LZ0GEO,On,Tone,74.4 Hz,74.4 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
659,439.5,431.9,7.600000,Minus,FM,LZ0HAM,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
660,439.35,431.75,7.600000,Minus,FM,LZ0HAS,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
661,439.325,431.725,7.600000,Minus,FM,LZ0IVA,On,Tone,91.5 Hz,91.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
662,145.775,145.175,0.600000,Minus,FM,LZ0KOM,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
663,439.575,431.975,7.600000,Minus,FM,LZ0MAI,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
664,439.125,431.525,7.600000,Minus,FM,LZ0MAR,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
665,438.85,431.25,7.600000,Minus,FM,LZ0MSS,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
666,145.775,145.175,0.600000,Minus,FM,LZ0ORL,On,None,88.5 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
667,438.8,431.2,7.600000,Minus,FM,LZ0PLD,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
668,439.425,431.825,7.600000,Minus,FM,LZ0PLK,On,Tone,103.5 Hz,103.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
669,145,145.6,0.600000,Plus,FM,LZ0RCB,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
670,439,431.4,7.600000,Minus,FM,LZ0RDP,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
671,145.725,145.125,0.600000,Minus,FM,LZ0RKN,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
672,438.65,431.05,7.600000,Minus,FM,LZ0ROJ,On,Tone,91.5 Hz,91.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
673,145.775,145.175,0.600000,Minus,FM,LZ0RSL,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
674,439.1,431.5,7.600000,Minus,FM,LZ0SEA,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
675,438.75,431.15,7.600000,Minus,FM,LZ0SLU,On,Tone,79.7 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
676,145.7,145.1,0.600000,Minus,FM,LZ0SLV,On,None,88.5 Hz,88.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
677,438.7,431.1,7.600000,Minus,FM,LZ0SMN,On,Tone,91.5 Hz,91.5 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
678,438.1,430.5,7.600000,Minus,FM,LZ0TUK,On,None,88.5 Hz,79.7 Hz,023,023,Off,12.5 kHz,Off,Off,,Off,
